Issues,Category
Audio recording. Instructors' Platform glitch and recording did not start. Internet issue.,platform issues
students still don't have learning portal access. out of 47 only 24 students were able to attend ,Student portal
"unable to upload the recording for evaluation , it is taking too long time to upload & unable to upload",session timing issues
"Pls provide a way to complete 2 hours worth of content in an 1 hour session including recording of 3 separate sessions on instructor portal and waiting for 5-10 mins for each recording to upload, conduct live quizzes and take attendance as well.",session timing issues
No Mic Available ,Facilities
"Fan noise, Students were tired due to long duration of session.",other on ground issues
even though i am recording in the instructor platform its not submitting,platform issues
"The screen was not working initially and it took some time to connect to the digital board, but I still delivered the class effectively",Facilities
Mic was not working at all.,Facilities
"Session stated late so, ended late.",session timing issues
Internet issues,Facilities
"Due to a network issue, the QA report was not generated. I have manually uploaded the audio file to the Instructor Platform.",platform issues
"Due to a network issue, the QA report was not generated. I have manually uploaded the audio file to the Instructor Platform.",platform issues
"Due to a network issue, the QA report was not generated. I have manually uploaded the audio file to the Instructor Platform.",platform issues
"Due to a network issue, the QA report was not generated. I have manually uploaded the audio file to the Instructor Platform.",platform issues
"Couldn't get the recording from Instructor portal, their might be issue with the portal, but I have recording in my phone.",platform issues
"1) The classroom did not have a TV or display screen, which limited my ability to explain concepts effectively. Additionally, several benches were broken, creating an uncomfortable environment for the students. 
2) The air conditioning was not working, and the classroom was hot, causing visible discomfort and irritation among the students. 
3) Due to the poor conditions, I was unable to proceed with the planned topic. Instead, I converted the session into an interactive discussion to maintain student engagement.",Facilities
For starting classes the screens are not powered on please resolve it,Facilities
Students are not responding even in interaction sessions also,other on ground issues
My instructor platform is not showing any sessions to record and i just tried to record the session and I lost all the recording.,platform issues
Students are complaining about the learning portal and I am unable to interact with the students without any subject to explain or talk.Its very hard to interact with them for 1 hour without any subject and from two days we are being interacting with the students and we are doing the same thing from 2 days .So students are feeling bored and irritated.,Student portal
"Report : Pace & Flow Management - it cannot be constant throughout the session.
Class : Students late reporting due to transport issue and delayed attendance by success coaches disturbed the flow.",Tech QA report issue
Reports: Simple Vocabulary & Jargon - Acronyms were defined clearly but Tool fails to take it.,Tech QA report issue
Pls Improve Network Speed,Facilities
"NO Electricity and no Wi-Fi, couldn't record (Stopped in between) (10am to 11am Session [Section - 15])",Facilities
"1) The classroom did not have a TV or display screen, which limited my ability to explain concepts effectively. Additionally, several benches were broken, creating an uncomfortable environment for the students. 
2) The air conditioning was not working, and the classroom was hot, causing visible discomfort and irritation among the students. 
3) Due to the poor conditions, I was unable to proceed with the planned topic. Instead, I converted the session into an interactive discussion to maintain student engagement.",Facilities
"The session in Instructor platform not scheduled so, I have recorded in Mobile.",platform issues
"The session in Instructor platform not scheduled so, I have recorded in Mobile.",platform issues
"I had the session from 9:30 - 10:30 in S1 on Coding Practice Walkthrough 1 
when i reached there at 9:30 i found out that the same session was already conducted the previous day. at that time i had to conduct the session on Leveraging GenAI for accelerated learning.
",Scheduling issue
In the middle of the session the mic stopped working so i had to carry on with the session without any mic.,Facilities
Recording started but Wi-Fi was slow couldn’t do it,Facilities
"All students could not access the Hugging Face through the same wifi, so I asked them to use there own hotspot",other on ground issues
Many students didn't get the access to the portal,Student portal
"All students could not access the Hugging Face through the same wifi, so I asked them to use there own hotspot",other on ground issues
70% of students didn't get the access to the portal ,Student portal
"All students could not access the Hugging Face through the same wifi, so I asked them to use there own hotspot",other on ground issues
"Aug-20 section-18 (intro to tech ) , for many students in that section were done with that topic.",Scheduling issue
Only the students who are sitting in front are responding and also for the session before the lunch time the students are leaving the class before by saying washroom,other on ground issues
"I recorded the audio with the Instructor Platform from the Scheduled section, I even selected Yes as options for both pop-up windows, it still didn't submit the record into the website.",platform issues
Mic didn't work.,Facilities
"No major issues in class. However, students mentioned facing AC issues in the classroom and felt suffocated.",Facilities
power cut ,Facilities
We don't have the any mcq and coding practice's in starting class that why we not recording the session next we introduction html in that we have mcq and coding practices then we going to recode the class ,Scheduling issue
"The session in Instructor platform not scheduled so, I have recorded in Mobile.",Scheduling issue
In middle of session power gone ,Facilities
"The session in Instructor platform not scheduled so, I have recorded in Mobile.",Scheduling issue
Technical issue,platform issues
after stop recording its not saved,platform issues
mic was bit troubling. there is no marker and duster. ,Facilities
"TV is not fixed, no mic, most of the things are not ready",Facilities
"The class was not ready, No Screen .",Facilities
Mic didn't work.,Facilities
Technical issues with audio recording. (using third party software) - audacity ,platform issues
Technical issues with audio recording. (using third party software) - audacity ,platform issues
"The students kept coming in late to class, Electricity issue",other on ground issues
There was no TV installed so I had taken Interaction session,Facilities
All went well except for internet connection got lost in middle,Facilities
power cut during class for 5 minutes,Facilities
"two times power cut , almost lost 10 minutes , its gen ai session which is already very long session so it was impossible to finish within one hour after power cut",Facilities
Some of them dont have access portal access and success coaches were unavailable,Student portal
Students are using phones during the class and sometimes they are having careless attitude.,other on ground issues
"Students kept entering the classroom throughout the session, which caused frequent disruptions.",other on ground issues
network issues and around 13 students in the class room no: 6 do not have learning portal access. ,Facilities
Many students do not have access to learning.,Student portal
"Issues with laptop and had to restart and lost the recording, so had to record again (Also tried to record in mobile and only half was recorded) and Success coaches were having some work with the students. 

The recording doesn't work when we keep moving around.",other on ground issues
The recording was not uploading manually.,platform issues
"1) Instructor Platform is not generating the report, the status is still ""Pending""
2) Mic batteries issue, but it was resolved",platform issues
"Students have not yet received access to the Learning Portal, but the Introduction to Python session has been completed. Some students are mentioning that this might cause them to lag behind in the upcoming sessions",Student portal
Audio Recording is not getting Uploaded,platform issues
"The session in Instructor platform not scheduled, please solve this issue as soon as possible.",Scheduling issue
Students are coming in between the class that is somewhat disturbing,other on ground issues
Power went off for and it disturbed for sometime after then continued smoothly,Facilities
"Students asked further classes topics, and i managed in such a way that while giving simple description and closing them by saying will discuss in upcoming sessions. Still the report generated irrelevant topic explained. due to that getting 2.7 feedback rating like that.",Tech QA report issue
Mic stooped working after 20 minutes it became difficult to speak louder as the area of the class was big,Facilities
"Students asked further classes topics, and i managed in such a way that while giving simple description and closing them by saying will discuss in upcoming sessions.BUT still generating reports like explained irrelvent topics. and it effects learning portal ratings.",Tech QA report issue
"The session in Instructor platform not scheduled so, I have recorded in Mobile.",Scheduling issue
4-5  student's portal block for today practice session,Student portal
Success Coach came and collecting data regarding the portal issues,other on ground issues
"1. I do not have access to the PPT from the instructor portal. I had to use the PPT from the learning portal. with respect to the report, ""Instructional Focus area says i have discussed off-topics"" but, the chrome is present the PPT.  
2. still 17 students in the class need to have portal access. and there is network fluctuations",Tech QA report issue
no microphone ,Facilities
Mic didn't work.,Facilities
Due to Internet issues audio didn't record.,Facilities
power cut was going opn and internet connectivity was disrupted,Facilities
"The session was not conducted as students are facing issues with the Learning Portal. So, The Success Coach is currently collecting the required data.",other on ground issues
Mic was not working,Facilities
still few students do not have access to the learning portal. the internet connectivity is good for this session. ,Student portal
session was not scheduled in the Instructor Platform.,Scheduling issue
"not getting expected feedbacks from learning portal. Due to students are asking more questions , and i am resolving it. but my learning portal things that i am going out off content and not following slides, but i am not going out of content and perfectly following the slides which is my biggest strengths, but still learning portal getting confuse with this. but in actually grounds. getting very good feedbacks from my students. ",Tech QA report issue
delay due to attendance,other on ground issues
TV is working in hall - 19,Facilities
Power cut issue in middle of the session,Facilities
Report transcript is not correct ,Tech QA report issue
THE QA TOOL RECORDER DICNT RECORDED THE AUDIO,platform issues
Saving issue,platform issues
"as usual , network issue , where the college is trying to resolve the problem ",Facilities
"In accordance with the given guidelines, examples used in the presentation slides have been deliberately excluded from this report. The emphasis here is placed on theoretical explanations, detailed analysis, and outcomes.",Tech QA report issue
morning practice session same content repeat in second session,Scheduling issue
Extremely Terrible Wifi issues,Facilities
Network Issue,Facilities
"Network issue and students have not got their portal , which is being trying to resolve everyday",Student portal
For the first classes of the day please make sure that screen and sound system is turned on,Facilities
still around 13 students do not have learning portal access. ,Student portal
Mic didn't work.,Facilities
"we need mentors because while solving the doubts students are calling and we are not able to reach out to every student in the class.
",other on ground issues
"The time table in the instructor platform was not proper, Mic was not working",Scheduling issue
In class chairs are not proper.,Facilities
The Class Strength is more than 80 so handling the entire class effectively is not possible so please try to increase the number of mentors . And one more important thing is mentors only handling the gen ai classes too so please try to rectify our issue .  Thank You   ,other on ground issues
12 students do not have learning portal access.,Student portal
"I am unable to record since we had internet issues and we were helping students in fixing the issue.
Learning portal issue with students we are helping regarding this thing.",Facilities
 Some Students are not showing interest and making others Disturbance,other on ground issues
while I'm started to record the session the success coach came and said she wants to collect data so i recorded only 1min ,other on ground issues
Few power-cuts in between the session.,Facilities
The exception unknown software exception (0xe0000008) occurred in the application at location 0x00007FFEFDB85369,platform issues
Internet Issue and learning portal access issue,Student portal
Mic stopped working suddenly in class,Facilities
"The mic is not recording the student voice; hence, student interaction is shown as low. 
and reduce the length of the ""Intro to Gen AI"" PPT so it can be covered in 1 hour.",other on ground issues
"Follow the lesson plan sequence, simplify jargon, and ensure accuracy of technical terms with clear explanations.
Boost engagement by adding polls, open-ended questions, and pauses, while keeping pace steady and examples focused.",Tech QA report issue
IN THE code platform when we srite code in the HTML or CSS file its not visiblke till last we zoom it then the time when we come back to the slides it goes till slide number 1 so its very irritating and takes a alot of time to go back plz do something ,session handling issues
IN THE code platform when we srite code in the HTML or CSS file its not visiblke till last we zoom it then the time when we come back to the slides it goes till slide number 1 so its very irritating and takes a alot of time to go back plz do something ,session handling issues
"Students are not paying attention in class. They are using mobiles, laughing, and not showing respect to the faculty.",session handling issues
"Classes have started and Students are not having Learning portal access till now, and few of them who are having access did not have their sessions unlocked (Students were shifted from Section-7 to Section-6, so they don't have access to what's being taught in Section-6).",Student portal
The instructor portal still has some issues.,platform issues
few of the student did'nt got leanring access,Student portal
"Students asking more droughts in the class room , and i am resolving it in the class. but learning portal is generating like going out of slides not following slide . because of that getting little bit low score. ",Tech QA report issue
"Students asking more droughts in the class room , and i am resolving it in the class. but learning portal is generating like going out of slides not following slide . because of that getting little bit low score. ",Tech QA report issue
"Students asking more droughts in the class room , and i am resolving it in the class. but learning portal is generating like going out of slides not following slide . because of that getting little bit low score. ",Tech QA report issue
The topics are not updated in the instructor portal,Scheduling issue
Power cut issue,Facilities
reduce the ppt size it is too big for 1 hour.,session handling issues
but took my time and explained the topics,other on ground issues
Students are Facing issues with Learning Portal ,Student portal
students are having portal access issue.,Student portal
classes not scheduled on instructor platform ,Scheduling issue
"issue with student portal access so, some students unable to do the coding practices.",Student portal
class not displayed on portal so i have recorded using phone ,Scheduling issue
Students still did not get their portal access,Student portal
No Internet 😭,Facilities
There was a problem with the instructor platform where I can see there are six classes assigned to me but in the actual schedule it was three classes even they didn't update the actual topic which has to be taught to the students so I had to follow up the actual schedule and the next topic and at the same time since it has not been reflected in the instructor platform I was unable to take the quiz for the students.,Scheduling issue
"Tool did not start the recording as there was internet issue, uploaded audio recording from mobile.",platform issues
Portal didn't record due to network issue and continues power loss,Facilities
still 8 students in this required learning portal access. ,Student portal
"I recorded the session, but it is not uploading. I also have  recording on my phone, but that too is not uploading in instructor portal. I tried three times, but still it’s not working.",platform issues
Succes coaches are taking half of the time in the class. No time to clear the doubts of remaining students,session handling issues
Everything Fine but some students didn't got the access to learning portal,Student portal
The instructor portal is still not showing my sessions in it.,Scheduling issue
The projector was flickering throughout the session. It wasn’t flickering continuously; it flickered once every 1–2 minutes.,Facilities
Recording has done via instuctor platform due to internet issue it got failed in uploading. I have recording in my mobile i will upload that recording manually. ,platform issues
students facing network issue and chair issue,Facilities
saving issue,platform issues
"python haven't started in class 19 , they scheduled the code walk through which should come after intro to python ",Scheduling issue
"After the session , If I want to look, Student quiz scores and feedback are not visible.",platform issues
Portal Access Issue,Student portal
Students are facing learning portal issue,Student portal
"Students mentioned that the Intro to Python session was not conducted; instead, a code walkthrough was directly held in Section 19",Scheduling issue
Current Issue,Facilities
"Could you please schedule all the practice sessions after the theory classes?
The reason is that if students attend MCQ or coding practice sessions before the theory class, they may not know the answers or understand the concepts yet.
This is just my suggestion, but I believe it would help students follow along more effectively",session handling issues
Microphone getting bass as complained by students. I have unable to fix it. ,other on ground issues
"There was no power , no internet there was no chance to start the class.",Facilities
There was a power cut because of which i could not complete whole session.,Facilities
"Rubric : Coverage & Sequence :is inaccurate-fine tuning and else is mentioned in the slide.; Instructional Focus: is flawed all the tools are present in the slides, 
Pace & Flow Management: pace cannot be constant, it is bound to vary.; 
Simple Vocabulary & Jargon: not up to the mark.",Tech QA report issue
The 1.5-hour course is very difficult to complete in 1 hour.,session timing issues
Internet issue,Facilities
"Pace & Flow Management: it cannot be constant, varies based on students interaction and time. For every topic : 'First...', 'Next...', 'Finally...'  is feasible to use.
Simple Vocabulary & Jargon: unexplained acronyms -- i clearly give the full form for all abbreviation.
Student Interaction : intro to Gen AI, little scope for interaction.  ",Tech QA report issue
Formative Assessment & Feedback: there was ample amount of interaction with which the tool missed,Tech QA report issue
"Could not able to complete the whole session in given time ,took some extra time to complete the session .The topic i have to take did not reflect in the instructor portal , in Schedule other topic was given to me but for that particular class the previous topic was not complete to that class , so i had to take that the previous topic.",session timing issues
ANIME AND MOVIES WERE NEVER DISCUSSED.,Tech QA report issue
The class was very bad every students went outside even before the class ended,session handling issues
So many students playing pubg in the classroom.,session handling issues
"wifi issue, power cut happen in between the session ,tv wont work to deliver the session, and while interacting with the students in those kind of situation, learning portal recording and telling discussing unnecessary thing , going out of context.",Tech QA report issue
"POWER CUT ISSUE, WIFI ISSUE, MIC ISSUE, AND STUDENTS GOT SHEDULED BY  SECOND SESSION WITHOUT CONDUCTION FIRST SESSION",Scheduling issue
"The session faced multiple challenges as both the microphone and TV were not functioning. Additionally, a power cut caused a delay of over 30 minutes. Students expressed their concerns and appeared visibly upset.",Facilities
"Students are facing issues with the Classroom Quiz. Although they are writing the answers, the score correction is not happening properly. Some students are receiving lower scores, for some the scores are not being displayed, and for others, the system is showing that the answers were not submitted.",Student portal
Pls fix the instructor portal. Its picking up student conversations and basing the evaluations from that.,Tech QA report issue
Pls fix the instructor portal. Its picking up student conversations and basing the evaluations from that.,Tech QA report issue
"the session was in two parts , i recorded the first part but its showing recording not submitted",platform issues
No issues with the mic or any other equipment,Facilities
Batteries,Facilities
Platform becomes irresponsive while submitting the recording.,platform issues
topics after thois topic what i tought today was done before,Scheduling issue
4 tiimes Power Cut In the Middle of the Session(which effected the QA report),Facilities
Issue with internet and 2 members didn't got the portal access ,Facilities
Major Electricity issues,Facilities
Network issue for students while attending quiz,Facilities
The instructor before has taken 15 mins of my session that affected me in my class .,session timing issues
I am taking the classes in section19 and section 20 in the second floor  in that two classrooms I  have network issues which will not loading the instructor portal itself which result failing in auto submission in instructor portal.,platform issues
Mic didn't properly,Facilities
"The evaluation flagged my iPhone example as off-topic, but it was actually part of the official PPT in image form. Since the system didn’t capture image-based content, it misinterpreted my example as unrelated.",Tech QA report issue
still 4 students do not have the learning portal access.,Student portal
"due to network issue, couldn't record the audio. Technical issue. ",Facilities
wifi is slow,Facilities
I have morning session in vgu class room 101 but when i reach to the classroom electricity was not there and students i wait for half hours until it is resolved . Then they setup projector and all so I get only 20 minuts to finish the module/ lecture. In sencond class I faced serious network issue with both wifi and the mobile internet . So session get delayed for some time . And morning because pf rushing to complete the modules in limited time i forget to record the session . From next time i will keep this in mind.,session timing issues
Students came late to the class,other on ground issues
The instructor portal was not working today when i was about to fi ish the session it stopped responding ,platform issues
Section - 19 --> Wifi issue and getting frequent network issues.,Facilities
Section - 09 --->. Half of the students are not having Learning Portal access,Student portal
"Network issue, frequent power-cut, student at the back were not able to see the board properly. ",Facilities
"MRV University management is providing ID cards. Hence, management paused their activities and proceeded to have their photographs taken for the ID card process ",other on ground issues
"MRV campus management is providing ID cards. Hence, the management paused their activities and proceeded to have their photographs taken for the ID card process.",other on ground issues
In the instructor portal it was not showing after finished the class it was show,platform issues
Students didn't interact well. ,session handling issues
Webpage become irresponsive while submitting the recording.,platform issues
"There was an issue with the scheduling of the session. The second topic, ""Variables and Data Types,"" was assigned, but upon speaking with the students, I found out that the first topic, ""Introduction to Python,"" had not yet been covered. As a result, I had to teach both topics in a single session. Additionally, I was assigned another session on ""Leveraging GenAI,"" which I couldn't complete due to the time constraints caused by the scheduling issue. I would like to request the schedule for tomorrow and have the topics rescheduled accordingly.",Scheduling issue
"students are asking unreverent question and forcing me to answer which kills my time i took 1 and half hour time to complete my session due to disturbance created by the student. and two session are given to complete in a single session, attendance also i have to take and that to its the first session of the day students came late by 10 minutes to the class. this many problems i faced.",session handling issues
Major Electricity issues,Facilities
"students are asking unreverent question and forcing me to answer which kills my time i took 1 and half hour time to complete my session due to disturbance created by the student. and two session are given to complete in a single session, attendance also i have to take and that to its the first session of the day students came late by 10 minutes to the class. this many problems i faced.",session handling issues
"Report is not giving accurate results. when ever i am interactive with students at that time its giving less ratings, if i am not interactive then its giving good ratings. ",Tech QA report issue
Internet issue for some students,Facilities
"Instructors are taking our mentors sessions time for about 20 min, so with in limited 30 min time as an instructor, it is not sufficient to  connect with all students.",session timing issues
QA report not generated as we were having wifi issue.,Facilities
"Students asking for indoor games, asking for transportation and ",other on ground issues
Explanation Clarity & Structure; Pace & Flow Management; Session Liveliness,Tech QA report issue
"Yes, Net is not coming. ",Facilities
no curtains no internet students did not have portal access many more issues classes are not ready. no microphone to record,Facilities
no curtains no internet students did not have portal access many more issues classes are not ready. no microphone to record,Facilities
"Network issue, screen sizing issue, the student didn't get the portal, so there are some problems with practicing coding and MCQs",Student portal
Instructional Focus;Pace & Fillers; ,Tech QA report issue
"There was no schedule for today in the instructor portal . So I could not  record the session 
and also projector was not working properly because there was a lot of issue in network connection I recorded session in my phone but I did not see that phone was unable to catch the voice because of some setting problem But next time I will make sure that it will be record properly.",Scheduling issue
Due to technical glitches I didn't record it,Facilities
"Technical issue
Wifi not working
classes are so hot and suffocating",Facilities
"Coverage & Sequence: Only second half was left. 
Instructional Focus: quiz is part of session.
Explanation Clarity & Structure
Simple Vocabulary & Jargon: were covered in last session , students answered the full forms
Pace & Fillers",Tech QA report issue
students don't have access to student portal.,Student portal
"Due to projector and internet issues (including mobile hotspot), students faced difficulty following the MCQ and coding practices. Hence, in the first class we verbally recapped the theory and conducted MCQ and coding practice on the classroom board. The schedule was also not updated in the instructor portal",Scheduling issue
Today's lecture was mainly slide based but projector was not working properly today.,Facilities
The instructor portal was not showing my sessions,Scheduling issue
Section - 05 --->  Students are having the issues with the classes that are happening,other on ground issues
Students are using mobiles and playing Games,session handling issues
Students are using mobiles,session handling issues
"session was not reflected on portal so i have voice recorded on phone , i will upload that ",platform issues
Instructors are taking extra time in my mentoring session,session timing issues
"Initially I started the recording, but due to some network issues I forgot to restart it.",Facilities
None .slides are not visible for back side people,Facilities
HDMI is not working in room 6. had to manually login in the TV and writing the code using the TV keyword got little hectic. ,Facilities
"Network issue, The classroom is quite warm and uncomfortable due to high temperature.",Facilities
Didn't got the access to the PPT.,platform issues
"The second part of the class was on the sequence of instructions, for which the time was less. So I didn't start that. ",session timing issues
"Very Hot classroom,wifi is not working,earthing in the classroom",Facilities
"very hot class,wifi issues,seats broken",Facilities
"Some students received access to the learning portal, while others did not. For the students , the scheduled coding practice was on For Loop instead of the first coding practice (Introduction to Python).Wifi Issue, Projector screen is not visible to the students",Student portal
more of error in python model 1 quiz,Student portal
Students did not have access to learning portal,Student portal
Instructional Focus; Formative Assessment & Feedback; ; Simple Vocabulary & Jargon,Tech QA report issue
Instructional Focus; Formative Assessment & Feedback; Pace & Fillers; Session Liveliness,Tech QA report issue
Instructional Focus; Pace & Flow Management; Pace & Fillers; ,Tech QA report issue
"Network issue, charging issue, the classroom is quite warm and uncomfortable due to high temperature.",Facilities
Mic has some issues in the hall ,Facilities
"Some students are not attended previous classes, If students have not attended the previous classes, they can access the recordings on the portal and need to watch them, but it seems they are not doing so",session handling issues
The generated report is saying the concepts which were in the PPT are irrelevant to the core class. ,Tech QA report issue
Network Issue,Facilities
"Because of internet issue, I couldn't take class Quiz and students couldn't do hands-on in the session.",Facilities
its disconnected might be wifi issue,Facilities
They are saying that they have already done with all the classes.,Scheduling issue
"Network issue that's why its not completed
",Facilities
internet issue so was  not able to record the session,Facilities
I have recorded the session in my phone as we were facing internet issues here in the morning as wifi was not available.,platform issues
They are asking about learning portal logins,Student portal
Instructor portal was not responding at the time of submitting the audio file ,platform issues
Time concerns,session timing issues
"Due to Internet issue, Couldn't take the Classroom Quiz.",Facilities
The QA Tool is saying the sequence was inconsistent. It also said I used informal term like 'friend' when I explained a small example for 'Think of AI as your learning partner 24/7'.,Tech QA report issue
"did not get recording , but i started recording in that particular session on platform",platform issues
mic not working in starting 10 minutes ,Facilities
I took practice session in morning 8:30 - 9:30 as harshad is not here today so i did not record the practice session.,session timing issues
"The TV did not on for 10 mins. but, was resolved by the facilities Team. one student still need ",Facilities
Instructor taken a extra time in my session,session timing issues
"Wi-Fi is very poor, which caused error uploading the session audio automatically.",Facilities
Electricity Issues,Facilities
Still some need to get portal logins,Student portal
STUDENTS LERNING PORTAL IS STILL UNLOCKED,Student portal
"Coverage & Sequence - this was the second half of the entire session.
Instructional Focus - classroom quiz is part of session is bound to happen.
Explanation Clarity & Structure ; Pace & Flow Management
Simple Vocabulary & Jargon - all terms when explained and given full forms as well.
",Tech QA report issue
Students arrived late and taking attendance took some time as well,session timing issues
Grammar & Sentence Length;,Tech QA report issue
STUDENTS LEARNING PORTAL NOT UNLOCKED,Student portal
"There was no power, no mic was there due to that i can conduct the class",Facilities
"STUDENTS LEARNING PORTAL IS LOCKED STILL. NEED TO UNLOCK, BECAUSE THEY ARE NOT DOING ANY PRAQCTICE
",Student portal
"STUDENTS LEARNING PORTAL IS LOCKED STILL. NEED TO UNLOCK, BECAUSE THEY ARE NOT DOING ANY PRAQCTICE
",Student portal
"They are telling that, we are done with today modules and practices when i told them to revise todays while they are playing games in the laptops and watching mobiles. ",session handling issues
No discrepancies in today's class. ,session handling issues
Mic didn't work.,Facilities
Had mic issues (Low battery),Facilities
one of the student couldn't answer the classroom quiz due to schedule. he got another classroom day plan scheduled to his. the BOA and PM were looking into it. ,Scheduling issue
"Instructor portal was not working it is not responding but the audio file is downloaded ,i have uploaded it manually ",platform issues
In my instructor Platform Schedule for first session was not assign (session was not assign on /before time ),Scheduling issue
Most of them are playing games not maintaining silence,session handling issues
Coverage & Sequence; Example Relevance; Instructional Focus - looks like the tool itself is not clear with which session is going on.,Tech QA report issue
The tool didn't generate the report and also failed to capture the audio.,platform issues
\I have been assigned with a class with the topic of coding practice walkthrough part two but in the instructor platform the PDF was not reflecting and none of the back end instructors were having the idea what to teach so I took the session for solving their doubts and made them solve few questions.,Scheduling issue
"REPORT IS SAYING TO NOT TALK ABOUT THIS ""CONVINCE MY FATHER FOR AN I PHONE"". BUT THIS LINE IS IN THE SLIDE AS AN EXAMPLE. AND IT IS TAKING NOISE AS RANTOM TEXT.",Tech QA report issue
"REPORT IS SAYING TO NOT TALK ABOUT THIS ""CONVINCE MY FATHER FOR AN I PHONE"". BUT THIS LINE IS IN THE SLIDE AS AN EXAMPLE. AND IT IS TAKING NOISE AS RANTOM TEXT.",Tech QA report issue
Student arriving late is still the recurring problem,session handling issues
"The TV's are not fixed in every class, So please fix it as soon as possible. ",Facilities
Present QA tool performance is poor than the previous version,Tech QA report issue
Because of network issue in the second session I m unable to record the second session ,Facilities
My class has been scheduled on the topic of coding practice work through part two but in the instructor platform I am unable to access the powerpoint and also in my learning portal also there is no powerpoint available so it is hard to teach them without a powerpoint therefore we have continued with some practice problems and made them to solve.,Scheduling issue
There were less students in the class,session handling issues
"Instructors are using 10 to 15 minutes of mentors session time, so with in limited time, can not able to resolve all students doubts. we are asking instructors that try to complete their session with in their slot of time.",session handling issues
My class has been scheduled on the topic of coding practice work through part two but in the instructor platform I am unable to access the powerpoint and also in my learning portal also there is no powerpoint available so it is hard to teach them without a powerpoint therefore we have continued with some practice problems and made them to solve.,session handling issues
No TV in the classroom,Facilities
"some student's are getting coding playground glitches
when student is giving one heading element in body tag so it is two times. ",Student portal
"Coverage & Sequence

Score: 1.00/4.00

The session lacked clear alignment with the lesson plan. The instructor spent significant time on unrelated activities (e.g., quiz setup and feedback collection) and did not cover core topics in a structured sequence. Key topics like 'prompting techniques' and 'creativity' were mentioned but not elaborated upon.
Instructional Focus

Score: 1.00/4.00

The session contained significant off-topic content, including repeated administrative instructions (e.g., quiz setup at timestamps 00:00:00–00:02:05) and unrelated discussions about Goa trips and movie recommendations. These segments consumed a substantial portion of the session.
Score: 1.50/4.00

Explanation Clarity & Structure

Score: 2.00/4.00

The session lacked clear and structured explanations. The instructor did not consistently break down concepts step-by-step or use signposts like 'First...', 'Next...', 'Finally...'. There were repetitive and unclear instructions (e.g., 'Try to be quick' repeated multiple times without elaboration). Code demos or problem walkthroughs were absent, and the session lacked recaps or roadmaps.",Tech QA report issue
